"ID","Literature_ID","Nodes_ID","Edges_ID","Pertains_To","Pages"
"1348","38","1385",NULL,,"120"
"1350","118","1394",NULL,,"52"
"1352","38","1401",NULL,,"121"
"1354","38","1406",NULL,,"121"
"1356","204","8926",NULL,"tolls","269"
"1358","38","1666",NULL,,"p. 143"
"1360","76","7324",NULL,"tolls","13"
"1362","206","7324",NULL,"tolls","200-201"
"1364","206","8394",NULL,"tolls","200-201"
"1366","206","4484",NULL,"tolls","200-201"
"1368","206","2053",NULL,"tolls","200-201"
"1370","76","245",NULL,"tolls","100"
"1372","206","245",NULL,"tolls","200-201"
"1374","4","245",NULL,"tolls","290n28"
"1376","72","1669",NULL,,"109"
"1378","76","1378",NULL,"tolls","80"
"1380","206","1378",NULL,"tolls","200-201"
"1382","206","3175",NULL,"tolls","200-203"
"1384","74","1671",NULL,,"p. 134"
"1386","70","1426",NULL,,"97"
"1388","38","1434",NULL,,"54"
"1390","64","1437",NULL,,"103"
"1392","38","1676",NULL,,"p. 143f."
"1394","38","1441",NULL,,"126"
"1398","208","8943",NULL,,"34-35"
"1400","38","1689",NULL,,"p. 483 f."
"1402","208","8944",NULL,,"35"
"1404","212","4275",NULL,"tolls","16"
"1406","214","8925",NULL,,"243-244"
"1408","216","2807",NULL,,"Plaatsnaam: Harderwijk (consulted 26 June 2019)"
"1410","216","142",NULL,,"Plaatsnaam: Almelo (consulted 26 June 2019)"
"1412","218","8925",NULL,"fairs","291"
"1414","216","244",NULL,,"Plaatsnaam: Amersfoort (consulted 26 June 2019)"
"1418","216","250",NULL,,"Plaatsnaam: Amsterdam (consulted 27 June 2019)"
"1420","216","280",NULL,,"Plaatsnaam: Appingedam (consulted 27 June 2019)"
"1422","216","296",NULL,,"Plaatsnaam: Arnhem (consulted 27 June 2019)"
"1424","216","330",NULL,,"Plaatsnaam: Assen (consulted 27 June 2019)"
"1428","216","362",NULL,,"Plaatsnaam: Baarn (consulted 27 June 2019)"
"1430","216","565",NULL,,"Plaatsnaam: Bergen op Zoom (consulted 27 June 2019)"
"1432","216","727",NULL,,"Plaatsnaam: Blokzijl (consulted 27 June 2019)"
"1434","216","809",NULL,,"Plaatsnaam: Bolsward (consulted 27 June 2019)"
"1436","216","829",NULL,,"Plaatsnaam: Borculo (consulted 27 June 2019)"
"1438","216","949",NULL,,"Plaatsnaam: Breda (consulted 27 June 2019)"
"1440","216","991",NULL,,"Plaatsnaam: Brielle (consulted 27 June 2019)"
"1442","220","4958",NULL,"fairs","9"
"1444","222","8885",NULL,"tolls","10"
"1446","222","8885",NULL,,
"1448","224","8922",NULL,"tolls","62"
"1452","224","867",NULL,,"23"
"1454","224","1007",NULL,,"23"
"1456","224","4275",NULL,,"23"
"1458","226","8943",NULL,,"82, 88-90"
"1460","226","8944",NULL,,"90-91"
"1462","4","1696",NULL,,"p. 439"
"1464","38","1455",NULL,,"128"
"1466","62","1458",NULL,,"101-102"
"1468","60","80",NULL,,"17"
"1470","60","122",NULL,,"18"
"1472","38","1467",NULL,,"128"
"1474","38","1468",NULL,,"128f."
"1476","60","351",NULL,,"24"
"1478","164","1488",NULL,,"33"
"1480","62","1489",NULL,,"103"
